index.html:314 The specified value "age here" cannot be parsed, or is out of range.
index.html:217 Received JSON:  {t: "30.35", p: "1.42"}
index.html:217 Received JSON:  {t: "30.36", p: "1.72"}
index.html:217 Received JSON:  {t: "30.35", p: "0.55"}
index.html:217 Received JSON:  {t: "30.36", p: "1.14"}
index.html:217 Received JSON:  {t: "30.36", p: "1.44"}
index.html:191 MAX:
index.html:192 1.2113429345409144
index.html:217 Received JSON:  {t: "30.37", p: "1.15"}
index.html:217 Received JSON:  {t: "30.37", p: "0.86"}
index.html:217 Received JSON:  {t: "30.37", p: "0.86"}
index.html:217 Received JSON:  {t: "30.37", p: "0.86"}
index.html:217 Received JSON:  {t: "30.37", p: "0.57"}
index.html:217 Received JSON:  {t: "30.37", p: "1.16"}
index.html:217 Received JSON:  {t: "30.38", p: "0.88"}
index.html:217 Received JSON:  {t: "30.38", p: "1.46"}
index.html:217 Received JSON:  {t: "30.38", p: "1.17"}
index.html:217 Received JSON:  {t: "30.38", p: "0.29"}
index.html:217 Received JSON:  {t: "30.39", p: "1.17"}
index.html:191 MAX:
index.html:192 1.057305491393318
index.html:217 Received JSON:  {t: "30.39", p: "0.01"}
index.html:217 Received JSON:  {t: "30.39", p: "0.29"}
index.html:217 Received JSON:  {t: "30.39", p: "0.29"}
index.html:217 Received JSON:  {t: "30.39", p: "0.89"}
index.html:217 Received JSON:  {t: "30.40", p: "0.89"}
index.html:217 Received JSON:  {t: "30.41", p: "0.31"}
index.html:217 Received JSON:  {t: "30.41", p: "1.19"}
index.html:217 Received JSON:  {t: "30.41", p: "0.89"}
index.html:217 Received JSON:  {t: "30.41", p: "0.91"}
index.html:217 Received JSON:  {t: "30.41", p: "0.61"}
index.html:217 Received JSON:  {t: "30.41", p: "0.61"}
index.html:217 Received JSON:  {t: "30.42", p: "0.62"}
index.html:217 Received JSON:  {t: "30.42", p: "0.91"}
index.html:217 Received JSON:  {t: "30.42", p: "1.21"}
index.html:217 Received JSON:  {t: "30.42", p: "0.33"}
index.html:217 Received JSON:  {t: "30.43", p: "0.92"}
index.html:217 Received JSON:  {t: "30.44", p: "0.34"}
index.html:217 Received JSON:  {t: "30.44", p: "0.92"}
index.html:217 Received JSON:  {t: "30.45", p: "0.65"}
index.html:217 Received JSON:  {t: "30.45", p: "0.06"}
index.html:217 Received JSON:  {t: "30.45", p: "0.07"}
index.html:217 Received JSON:  {t: "30.45", p: "-0.23"}
index.html:217 Received JSON:  {t: "30.45", p: "0.95"}
index.html:191 MAX:
index.html:192 0.7695342631126176
index.html:217 Received JSON:  {t: "30.45", p: "0.65"}
index.html:217 Received JSON:  {t: "30.46", p: "0.95"}
index.html:217 Received JSON:  {t: "30.46", p: "0.66"}
index.html:217 Received JSON:  {t: "30.47", p: "0.08"}
index.html:217 Received JSON:  {t: "30.47", p: "-0.50"}
index.html:217 Received JSON:  {t: "30.47", p: "0.67"}
index.html:217 Received JSON:  {t: "30.47", p: "0.96"}
index.html:217 Received JSON:  {t: "30.48", p: "0.38"}
index.html:217 Received JSON:  {t: "30.48", p: "0.38"}
index.html:217 Received JSON:  {t: "30.48", p: "0.09"}
index.html:217 Received JSON:  {t: "30.49", p: "0.39"}
index.html:217 Received JSON:  {t: "30.49", p: "0.69"}
