30.16	1.09
30.16	1.39
30.16	1.09
30.16	1.09
30.17	1.11
30.17	1.39
30.18	1.99
30.18	1.69
30.19	0.84
30.19	1.14
30.19	1.44
30.19	1.14
30.21	0.87
30.21	0.87
30.21	0.87
30.22	1.47
30.23	0.89
30.23	1.48
30.23	1.19
30.25	0.92
30.25	1.51
30.25	1.22
30.26	1.23
30.26	0.95
30.27	0.96
30.27	1.54
30.28	1.54
30.27	1.25
30.28	1.26
30.29	0.69
30.29	0.42
30.30	1.29
30.31	0.72
30.31	0.43
30.32	1.31
30.32	0.74
30.32	0.74
30.33	0.46
30.34	0.77
30.34	1.34
30.34	1.06
30.35	1.64
30.35	1.36
30.36	1.09
30.36	1.09
30.37	1.38
30.37	0.53
30.37	1.11
30.38	1.39
30.38	1.39
30.39	1.13
30.39	1.13
30.39	1.71
30.40	1.72
30.41	1.15
30.40	1.43
30.41	1.44
30.41	0.87
30.43	0.59
30.43	1.18
30.43	0.89
30.44	1.19
30.45	1.79
30.45	1.49
30.45	0.63
30.45	0.63
30.46	1.23
30.46	1.23
30.47	1.53
30.47	0.95
30.49	1.26
30.49	0.68
30.49	1.55
30.49	1.28
30.49	0.99
30.50	1.29
30.51	0.71
30.51	1.29
30.52	1.02
30.52	1.31
30.53	0.74
30.54	1.34
30.53	1.04
30.54	1.05
30.55	1.35
30.55	0.78
30.56	1.07
30.56	1.08
30.57	0.79
30.57	1.09
30.57	1.09
30.57	1.39
30.58	0.81
30.59	1.12
30.59	0.83
30.59	0.84
30.60	1.14
30.60	1.14
30.61	0.85
30.61	1.14
30.62	1.17
30.63	0.59
30.63	1.17
30.63	1.17
30.63	0.89
30.64	1.77
30.65	1.49
30.65	1.78
30.65	0.91
30.66	1.22
30.65	0.92
30.67	1.81
30.67	1.52
30.67	1.53
30.68	1.82
30.68	1.54
30.68	1.24
30.69	0.68
30.69	1.27
30.70	1.28
30.70	0.98
30.71	0.99
30.71	1.29
30.72	1.59
30.72	1.01
30.73	1.03
30.73	1.32
30.73	1.03
30.74	1.34
30.74	1.04
30.74	1.04
30.75	0.77
30.76	1.35
30.76	1.36
30.77	1.08
30.77	0.79
30.77	1.09
30.77	0.51
30.78	0.81
30.79	0.82
30.78	1.68
30.79	0.82
30.79	1.12
30.81	1.13
30.81	0.84
30.81	1.14
30.82	2.02
30.81	1.14
30.83	1.46
30.83	0.58
30.84	1.47
30.83	1.46
30.84	1.18
30.85	0.61
30.85	1.19
30.85	1.49
30.85	0.91
30.86	1.21
30.86	1.21
30.87	1.51
30.87	0.94
30.88	1.52
30.88	1.24
30.89	1.24
30.89	1.54
30.89	1.84
30.89	0.97
30.90	1.56
30.91	1.28
30.91	0.99
30.92	0.99
30.92	0.99
30.92	1.01
30.93	1.88
30.93	0.73
30.93	1.32
30.93	1.89
30.94	1.62
30.96	0.77
30.96	1.06
30.96	1.35
30.96	1.93
30.96	1.35
30.97	1.37
30.97	1.08
30.97	1.37
30.99	1.11
30.99	1.39
30.99	1.11
30.99	1.69
30.99	1.69
31.01	1.42
31.01	0.84
31.01	1.72
31.01	1.14
31.02	1.15
31.03	1.16
31.03	0.87
31.03	0.58
31.04	1.18
31.04	1.47
31.05	1.18
31.06	0.61
31.06	1.19
31.06	1.49
31.06	1.49
31.07	1.21
31.07	1.79
31.07	1.79
31.08	1.81
31.08	2.09
31.09	1.24
31.09	1.53
31.09	0.96
31.10	1.84
31.10	1.84
31.10	1.84
31.10	1.55
31.11	1.86
31.12	1.28
31.12	1.57
31.13	2.17
31.13	1.88
31.14	1.59
31.14	1.31
31.14	0.73
31.14	1.02
31.14	0.74
31.15	1.33
31.16	1.64
31.16	1.34
31.17	1.35
31.17	0.78
31.18	1.37
31.18	1.95
31.18	1.67
31.19	1.68
31.19	1.38
31.19	1.39
31.19	1.09
31.20	0.53
31.21	0.54
31.21	1.12
31.22	1.42
31.22	0.56
31.23	1.14
31.23	1.44
31.24	1.16
31.24	1.16
31.24	0.88
31.25	1.46
31.26	1.48
31.26	1.48
31.26	1.19
31.26	1.19
31.27	1.19
31.27	1.49
31.27	0.92
31.28	1.79
31.28	1.22
31.29	0.94
31.29	1.82
31.29	1.82
31.30	1.83
31.29	2.39
31.30	1.54
31.31	2.14
31.31	2.13
31.31	1.56
31.32	1.28
31.32	2.15
31.34	2.17
31.33	1.58
31.34	1.59
31.34	1.59
31.34	1.31
31.34	1.02
31.34	1.89
31.35	1.89
31.36	1.63
31.36	2.49
31.37	1.34
31.38	1.36
31.38	1.36
31.38	1.66
31.39	1.08
31.39	1.67
31.39	1.37
31.39	1.96
31.41	1.69
31.41	1.69
31.41	1.39
31.42	1.41
31.42	1.99
31.42	1.71
31.42	1.71
31.43	1.14
31.43	0.86
31.44	2.32
31.45	1.46
31.44	1.45
31.45	1.46
31.46	1.47
31.46	1.47
31.46	0.89
31.46	1.19
31.47	1.49
31.47	1.49
31.47	2.07
31.48	1.79
31.48	1.51
31.49	1.22
